Features,Algoritmo,Parametro,Checks,Eficiencia,Efectividad
MEL,KmeansResults,75,1000,0.06465175732135148,0.9763551518686722
MEL,KmeansResults,25,125,0.0151082343813988,0.7762593225282279
MEL,KmeansResults,50,125,0.011275901153437014,0.6644098162576559
MEL,KmeansResults,75,125,0.012806383595923326,0.7215949335444356
MEL,KmeansResults,25,25,0.005020835547421042,0.4988125494771051
MEL,KmeansResults,50,25,0.0051070370999198225,0.4136910962043248
MEL,KmeansResults,75,25,0.005760798335230638,0.44398150077080123
MEL,KmeansResults,25,5,0.0030235000577341843,0.31654931044539814
MEL,KmeansResults,50,5,0.00418207181521224,0.3407149702095746
MEL,KmeansResults,75,5,0.004654848435097412,0.32615307695512685
MEL,KmeansResults,25,625,0.06141300265622087,0.9646681388275489
MEL,KmeansResults,50,625,0.0457833876790644,0.9483563184867297
MEL,KmeansResults,75,625,0.04231837790726396,0.9465022290737886
SIFT,kdTreeResults,10,1,0.0017042940461595038,0.09789175451022875
SIFT,kdTreeResults,30,1,0.0042282559800124846,0.09564184825632266
SIFT,kdTreeResults,50,1,0.00779240398572691,0.09203783175701012
SIFT,kdTreeResults,10,1000,0.08366783548672163,0.9755010207908004
SIFT,kdTreeResults,30,1000,0.13507100742446174,0.9840423315695179
SIFT,kdTreeResults,50,1000,0.13807326814225285,0.9861464105662264
SIFT,kdTreeResults,10,125,0.011343595812307171,0.8045289779592517
SIFT,kdTreeResults,30,125,0.017510265379349126,0.8556518478396733
SIFT,kdTreeResults,50,125,0.020230300869339152,0.8575892671138703
SIFT,kdTreeResults,10,25,0.0031046802202139563,0.5302904045664764
SIFT,kdTreeResults,30,25,0.006092672962788871,0.5887671347027207
SIFT,kdTreeResults,50,25,0.007444719548679149,0.5889754593558602
SIFT,kdTreeResults,10,5,0.0017249689659843985,0.2684888129661264
SIFT,kdTreeResults,30,5,0.004820885686666656,0.2607808007999667
SIFT,kdTreeResults,50,5,0.006408213522884396,0.27032206991375357
SIFT,kdTreeResults,10,625,0.05096664401567126,0.9545643931502854
SIFT,kdTreeResults,30,625,0.07611874920785447,0.9711470355401858
SIFT,kdTreeResults,50,625,0.08502505713739318,0.9738760884963127
SIFT,KmeansResults,25,1,0.0034228034397577704,0.37365109787092204
SIFT,KmeansResults,50,1,0.0034827796142663037,0.42516978459230864
SIFT,KmeansResults,75,1,0.004294461724027981,0.38335902670722055
SIFT,KmeansResults,25,1000,0.11510767752417476,0.99160451647848
SIFT,KmeansResults,50,1000,0.05869909911536682,0.965772259489188
SIFT,KmeansResults,75,1000,0.08156539866001414,0.9838340069163785
SIFT,KmeansResults,25,125,0.01664241773600073,0.8198200074996875
SIFT,KmeansResults,50,125,0.00995624768281845,0.749989583767343
SIFT,KmeansResults,75,125,0.01437437883629209,0.8050914545227282
SIFT,KmeansResults,25,25,0.005636924206893936,0.6076205158118412
SIFT,KmeansResults,50,25,0.0044129970214081375,0.5136869297112621
SIFT,KmeansResults,75,25,0.005871887741379834,0.5657264280654972
SIFT,KmeansResults,25,5,0.0034651590547096853,0.4209616265988917
SIFT,KmeansResults,50,5,0.003465659993183806,0.4438356735136036
SIFT,KmeansResults,75,5,0.004304295321700895,0.44206491396191827
SIFT,KmeansResults,25,625,0.0628905741264818,0.9696679305028957
SIFT,KmeansResults,50,625,0.03789277552692021,0.934919378359235
SIFT,KmeansResults,75,625,0.0432718548112049,0.964230657055956
